county,prophappy,propfood,prophealthyfood,propfastfood,sentfood,sentfastfood,senthealthy,calories,propexercise,sentex,percentalc,sentalc
48061,.15224479,.038201857,.0053955796,.0049050725,.21638973,.1382353,.31550801,270.62656,.016908074,.20051195,.0051358994,.27528089
48063,.1559792,.045927208,.010398613,,.28301886,,.58333331,207.43396,.01559792,.33333334,.0043327557,.2
48065,.14368482,.012746234,.0011587485,,.090909094,,0,111.72222,.022016222,.10526316,.002317497,.5
48067,.13015513,.017026106,.0030268633,.0022701477,.26666668,.5,.375,267.96667,.0098373061,.07692308,.00037835792,0
48069,.11314286,.024,.0011428571,.0011428571,.23809524,0,0,250.19048,.0068571428,0,.011428571,.30000001
48071,.12229573,.026729841,.0050956551,.0017879492,.15719064,.050000001,.087719299,213.77684,.01305203,.34246576,.0029501163,.18181819
48073,.11315852,.022206472,.0040160641,.0011811954,.18085106,0,.23529412,254.81915,.0099220416,.14285715,.0030711079,.07692308
48075,.1882353,.026737968,.0074866312,.0021390375,.12,0,0,301.26401,.0053475937,0,.0064171124,.33333334
48077,.17795753,.024266936,.0040444895,.0020222447,.16666667,0,.25,292.83334,.013144591,.23076923,.0020222447,0
48079,.022727273,,,,,,,,.011363637,0,,
48081,.17218544,.033112582,.013245033,,.2,,0,280.20001,.013245033,.5,,
48083,.14463453,.01866252,.00311042,,.41666666,,0,154.04167,.02177294,.21428572,.0093312599,.16666667
48085,.19020729,.050150491,.0066435225,.0049785906,.26712438,.18144833,.28841463,258.17862,.017309617,.27311024,.0063478048,.3318443
48087,.18852459,.081967212,.032786883,,0,,0,174.39999,.016393442,0,,
48089,.13524242,.025233909,.0025517438,.00056705414,.17977528,0,.55555558,242.31818,.010774028,.28947368,.0034023249,.33333334
48091,.11931842,.029467721,.0035361263,.0016543281,.2863158,.1375,.2631579,216.13792,.0133587,.27708977,.0072376854,.39714286
48093,.16453674,.052715655,.012779552,.0047923322,.4848485,.33333334,.75,227.90909,.014376997,.22222222,.0079872208,.60000002
48095,.21359223,.033980582,.004854369,,.2857143,,0,201.21428,.019417476,.75,.004854369,0
48097,.17822468,.037447989,.0050855293,.0050855293,.14814815,.045454547,.090909094,302.95343,.011789181,.3137255,.0053166896,.2173913
48099,.14279486,.030957052,.0055591892,.0035971224,.21478873,.15151516,.23529412,273.44049,.015151516,.19424461,.0025070852,.13043478
48101,.15104167,.010416667,.0052083335,.0052083335,0,0,0,296.5,.03125,.33333334,,
48103,.17834395,.019108281,,,0,,,148.33333,.0063694268,0,.0063694268,0
48105,.14519906,.023419203,,.0023419203,.1,0,,242.2,.011709602,0,.0046838406,0
